# Ucuzabak kategori ağacı (export: 2026-03-31T22:36:03.993Z)
# Toplam kayıt: 690
# Satır formatı: [derinlik] Ad | slug: ... | id: ... | aktif: evet/hayır | sortOrder: ...

■ Elektronik | slug: elektronik | id: 691 | aktif: evet | sortOrder: 10
    └ Fanlı Isıtıcılar | slug: isiticilar-fanli-isiticilar | id: 996 | aktif: evet | sortOrder: 10
    └ Isıtıcı Bakım & Filtre | slug: isiticilar-isitici-bakim-ve-filtre | id: 997 | aktif: evet | sortOrder: 20
  └ Ütü | slug: ev-yasam-utu | id: 1141 | aktif: evet | sortOrder: 70
    └ Buharlı Ütü | slug: ev-yasam-utu-buharli-utu | id: 1142 | aktif: evet | sortOrder: 10
    └ Kazanlı Ütü | slug: ev-yasam-utu-kazanli-utu | id: 1143 | aktif: evet | sortOrder: 20
  └ Dekorasyon | slug: ev-yasam-dekorasyon | id: 1144 | aktif: evet | sortOrder: 80
    └ Duvar Dekoru | slug: ev-yasam-dekorasyon-duvar-dekoru | id: 1145 | aktif: evet | sortOrder: 10
    └ Masa Üstü Dekor | slug: ev-yasam-dekorasyon-masa-ustu-dekor | id: 1146 | aktif: evet | sortOrder: 20
  └ Banyo | slug: ev-yasam-banyo | id: 1147 | aktif: evet | sortOrder: 90
    └ Banyo Setleri | slug: ev-yasam-banyo-banyo-setleri | id: 1148 | aktif: evet | sortOrder: 10
    └ Duş Aksesuarları | slug: ev-yasam-banyo-dus-aksesuarlari | id: 1149 | aktif: evet | sortOrder: 20
  └ Temizlik Gereçleri | slug: ev-yasam-temizlik-gerecleri | id: 1150 | aktif: evet | sortOrder: 100
    └ Mop | slug: ev-yasam-temizlik-gerecleri-mop | id: 1151 | aktif: evet | sortOrder: 10
    └ Cam Temizlik Ürünleri | slug: ev-yasam-temizlik-gerecleri-cam-temizlik-urunleri | id: 1152 | aktif: evet | sortOrder: 20
  └ Süpürge | slug: ev-yasam-supurge | id: 1207 | aktif: evet | sortOrder: 110
    └ Robot Süpürge | slug: ev-yasam-supurge-robot-supurge | id: 1208 | aktif: evet | sortOrder: 10
    └ Dikey Süpürge | slug: ev-yasam-supurge-dikey-supurge | id: 1209 | aktif: evet | sortOrder: 20
  └ Mutfak Aletleri | slug: ev-yasam-mutfak-aletleri | id: 1210 | aktif: evet | sortOrder: 120
    └ Blender | slug: ev-yasam-mutfak-aletleri-blender | id: 1211 | aktif: evet | sortOrder: 10
    └ Mikser | slug: ev-yasam-mutfak-aletleri-mikser | id: 1212 | aktif: evet | sortOrder: 20
  └ Kahve & İçecek Hazırlama | slug: ev-yasam-kahve-ve-i-cecek-hazirlama | id: 1213 | aktif: evet | sortOrder: 130
    └ Espresso Makinesi | slug: ev-yasam-kahve-ve-i-cecek-hazirlama-espresso-makinesi | id: 1214 | aktif: evet | sortOrder: 10
    └ Filtre Kahve Makinesi | slug: ev-yasam-kahve-ve-i-cecek-hazirlama-filtre-kahve-makinesi | id: 1215 | aktif: evet | sortOrder: 20
  └ Pişirme Yardımcıları | slug: ev-yasam-pisirme-yardimcilari | id: 1216 | aktif: evet | sortOrder: 140
    └ Airfryer | slug: ev-yasam-pisirme-yardimcilari-airfryer | id: 1217 | aktif: evet | sortOrder: 10
    └ Tost Makinesi | slug: ev-yasam-pisirme-yardimcilari-tost-makinesi | id: 1218 | aktif: evet | sortOrder: 20
  └ Isıtma & Soğutma | slug: ev-yasam-isitma-ve-sogutma | id: 1219 | aktif: evet | sortOrder: 150
    └ Vantilatör | slug: ev-yasam-isitma-ve-sogutma-vantilator | id: 1220 | aktif: evet | sortOrder: 10
    └ Hava Temizleyici | slug: ev-yasam-isitma-ve-sogutma-hava-temizleyici | id: 1221 | aktif: evet | sortOrder: 20
  └ Düzenleme & Depolama | slug: ev-yasam-duzenleme-ve-depolama | id: 1222 | aktif: evet | sortOrder: 160
    └ Saklama Kutusu | slug: ev-yasam-duzenleme-ve-depolama-saklama-kutusu | id: 1223 | aktif: evet | sortOrder: 10
    └ Dolap Düzenleyici | slug: ev-yasam-duzenleme-ve-depolama-dolap-duzenleyici | id: 1224 | aktif: evet | sortOrder: 20
■ Mobilya | slug: mobilya | id: 762 | aktif: evet | sortOrder: 40
  └ Oturma Odası | slug: mobilya-oturma-odasi | id: 763 | aktif: evet | sortOrder: 10
    └ Koltuk Takımları | slug: mobilya-oturma-odasi-koltuk-takimlari | id: 764 | aktif: evet | sortOrder: 10
    └ Sehpa & Orta Sehpa | slug: mobilya-oturma-odasi-sehpa-ve-orta-sehpa | id: 765 | aktif: evet | sortOrder: 20
  └ Yatak Odası | slug: mobilya-yatak-odasi | id: 766 | aktif: evet | sortOrder: 20
    └ Yatak & Başlık | slug: mobilya-yatak-odasi-yatak-ve-baslik | id: 767 | aktif: evet | sortOrder: 10
    └ Gardırop & Şifonyer | slug: mobilya-yatak-odasi-gardirop-ve-sifonyer | id: 768 | aktif: evet | sortOrder: 20
  └ Yemek Odası | slug: mobilya-yemek-odasi | id: 769 | aktif: evet | sortOrder: 30
    └ Masa & Sandalye | slug: mobilya-yemek-odasi-masa-ve-sandalye | id: 770 | aktif: evet | sortOrder: 10
    └ Büfe & Konsol | slug: mobilya-yemek-odasi-bufe-ve-konsol | id: 771 | aktif: evet | sortOrder: 20
  └ Çalışma & Ofis Mobilyaları | slug: mobilya-calisma-ve-ofis-mobilyalari | id: 772 | aktif: evet | sortOrder: 40
    └ Çalışma Masaları | slug: mobilya-calisma-ve-ofis-mobilyalari-calisma-masalari | id: 773 | aktif: evet | sortOrder: 10
    └ Ofis Koltukları | slug: mobilya-calisma-ve-ofis-mobilyalari-ofis-koltuklari | id: 774 | aktif: evet | sortOrder: 20
  └ Depolama & Organizasyon | slug: mobilya-depolama-ve-organizasyon | id: 775 | aktif: evet | sortOrder: 50
    └ Kitaplık & Raf | slug: mobilya-depolama-ve-organizasyon-kitaplik-ve-raf | id: 776 | aktif: evet | sortOrder: 10
    └ Ayakkabılık & Portmanto | slug: mobilya-depolama-ve-organizasyon-ayakkabilik-ve-portmanto | id: 777 | aktif: evet | sortOrder: 20
  └ Balkon & Bahçe Mobilyaları | slug: mobilya-balkon-ve-bahce-mobilyalari | id: 778 | aktif: evet | sortOrder: 60
    └ Balkon Takımları | slug: mobilya-balkon-ve-bahce-mobilyalari-balkon-takimlari | id: 779 | aktif: evet | sortOrder: 10
    └ Bahçe Oturma Grupları | slug: mobilya-balkon-ve-bahce-mobilyalari-bahce-oturma-gruplari | id: 780 | aktif: evet | sortOrder: 20
  └ Çocuk Odası | slug: mobilya-cocuk-odasi | id: 1225 | aktif: evet | sortOrder: 90
    └ Çocuk Yatağı | slug: mobilya-cocuk-odasi-cocuk-yatagi | id: 1226 | aktif: evet | sortOrder: 10
    └ Çocuk Dolabı | slug: mobilya-cocuk-odasi-cocuk-dolabi | id: 1227 | aktif: evet | sortOrder: 20
  └ Ofis Mobilyası | slug: mobilya-ofis-mobilyasi | id: 1228 | aktif: evet | sortOrder: 100
    └ Çalışma Masası | slug: mobilya-ofis-mobilyasi-calisma-masasi | id: 1229 | aktif: evet | sortOrder: 10
    └ Ergonomik Koltuk | slug: mobilya-ofis-mobilyasi-ergonomik-koltuk | id: 1230 | aktif: evet | sortOrder: 20
  └ Bahçe Mobilyası | slug: mobilya-bahce-mobilyasi | id: 1231 | aktif: evet | sortOrder: 110
    └ Bahçe Takımı | slug: mobilya-bahce-mobilyasi-bahce-takimi | id: 1232 | aktif: evet | sortOrder: 10
    └ Şezlong | slug: mobilya-bahce-mobilyasi-sezlong | id: 1233 | aktif: evet | sortOrder: 20
  └ TV Ünitesi | slug: mobilya-tv-unitesi | id: 1234 | aktif: evet | sortOrder: 120
    └ TV Sehpası | slug: mobilya-tv-unitesi-tv-sehpasi | id: 1235 | aktif: evet | sortOrder: 10
    └ Duvar TV Ünitesi | slug: mobilya-tv-unitesi-duvar-tv-unitesi | id: 1236 | aktif: evet | sortOrder: 20
  └ Depolama Mobilyaları | slug: mobilya-depolama-mobilyalari | id: 1237 | aktif: evet | sortOrder: 130
    └ Kitaplık | slug: mobilya-depolama-mobilyalari-kitaplik | id: 1238 | aktif: evet | sortOrder: 10
    └ Çok Amaçlı Dolap | slug: mobilya-depolama-mobilyalari-cok-amacli-dolap | id: 1239 | aktif: evet | sortOrder: 20
■ Kişisel Bakım | slug: kisisel-bakim | id: 694 | aktif: evet | sortOrder: 50
  └ Kozmetik | slug: kozmetik | id: 719 | aktif: evet | sortOrder: 10
    └ Makyaj | slug: kozmetik-makyaj | id: 998 | aktif: evet | sortOrder: 10
    └ Güneş Koruyucu | slug: kozmetik-gunes-koruyucu | id: 999 | aktif: evet | sortOrder: 20
  └ Saç Bakım | slug: sac-bakim | id: 720 | aktif: evet | sortOrder: 20
